Título del producto	Descripción del producto	Identificador del listing	SKU del vendedor	Precio	Cantidad	Fecha de creación	Columna en desuso	Producto para vender	Tipo de identificador de producto	Columna en desuso	Nota sobre el producto	Estado del producto	Columna en desuso	Columna en desuso	Columna en desuso	ASIN 1	Columna en desuso	Columna en desuso	Envío internacional	Envío urgente	Columna en desuso	Identificador del producto	Columna en desuso	Añadir o eliminar	Cantidad pendiente	Canal de gestión logística	Precio de negocio	Tipo de precio por cantidad	Límite inferior 1 por cantidad	Precio 1 por cantidad	Límite inferior 2 por cantidad	Precio 2 por cantidad	Límite inferior 3 por cantidad	Precio 3 por cantidad	Límite inferior 4 por cantidad	Precio 4 por cantidad	Límite inferior 5 por cantidad	Precio 5 por cantidad	merchant-shipping-group	Tipo de precio progresivo	Límite inferior progresivo 1	Precio progresivo 1	Límite inferior progresivo 2	Precio progresivo 2	Límite inferior progresivo 3	Precio progresivo 3	Cantidad de pedido mínima	Vender las unidades restantes
TUBOPLUS Goma Fija-Grip DE Color Rosa para Sujetar EL Grip U OVERGRIP Y NO TENGAS LA Necesidad DE Poner LA Cinta Aislante!!	GOMA FIJA-GRIP DE COLORES PARA SUJETAR EL GRIP U OVERGRIP Y NO TENGAS LA NECESIDAD DE PONER LA CINTA AISLANTE. ¡PERSONALIZA TU RAQUETA TENIS O PALA DE PADEL! Objetivos de la Goma Fija-Gris: 1. Nunca más se te soltará el grip. 2. Localiza rápido tu raqueta. 3. Ajusta tu Grip u Overgrip para que no se suelte. 4. No coloques más la cinta aislante, con la Goma Fija-Gris tienes asegurado el agarre de tu Grip. 5. Diferencia tu pala de las demás. 6. Dale un toque moderno y de color a la pala. 7. Conjunta tu pala con las zapatillas.	0831QCUN6TW	1T-ZK3F-CWMR	3	25	31/08/2016 16:55:27 MEST		y	3			11				B01LBC2GWK						642213320652			0	DEFAULT	3.0	fixed	3	3									Plantilla de Amazon									false
TUBOPLUS 29PSI X3e con Bomba - Presurizador de Pelotas de Pádel y Tenis | Capacidad para 3 Pelotas | Bote Hermético | Incluye Inflador con Manómetro	Recupera la presión de tus pelotas con máxima precisión El Tubo Plus 29PSI X3e con Bomba te ofrece una solución completa para conservar el rebote y la presión de 3 pelotas. Su diseño compacto y portátil lo hace ideal para entrenamientos y competiciones. 📌 Incluye bomba de aire con manómetro, permitiéndote ajustar la presión hasta 29 PSI con precisión. Beneficios clave: ✔ Capacidad para 3 pelotas, optimizando espacio y comodidad. ✔ Bomba de aire con manómetro incluida, ajuste de presión personalizado. ✔ Cierre hermético sin fugas, evitando pérdidas de aire. ✔ Compatible con todas las marcas de pelotas de pádel y tenis. ✔ Diseño premium en ABS ultraresistente. Instrucciones de uso: 1️⃣ Introduce las pelotas en el tubo. 2️⃣ Cierra la tapa asegurando un sellado hermético. 3️⃣ Usa la bomba de aire incluida para presurizar hasta 29 PSI. 4️⃣ Almacena el presurizador en un lugar seco hasta el próximo uso.	0314FMA9H2J	29PSIX3_CB_2	42		14/03/2025 02:46:22 MET		y	1			11				B0F1F2PQPK						B0F1F2PQPK				AMAZON_EU	42.0	fixed	3	41.96									Plantilla de Amazon									
TUBOPLUS 29PSI X3e - Presurizador de Pelotas de Pádel y Tenis | Capacidad para 3 Pelotas | Bote Hermético | Requiere Bomba de Aire (No Incluida)	Mantén tus pelotas de pádel y tenis siempre a punto Con el Tubo Plus 29PSI, tus pelotas de pádel y tenis mantendrán su rebote y presión original durante mucho más tiempo. Gracias a su sistema de presurización avanzado, evita que las bolas pierdan elasticidad, permitiéndote ahorrar en pelotas nuevas y mejorar tu experiencia de juego. 📌 Disponible en dos versiones: ✔ X3e: Capacidad para 3 pelotas, diseño compacto y fácil de transportar. ✔ X4e: Capacidad para 4 pelotas, ideal para entrenamientos intensivos. 💡 IMPORTANTE: Este producto requiere una bomba de aire compatible con su válvula para presurizar las pelotas (los modelos con bomba ya incluyen inflador con manómetro). 📌 Instrucciones de uso: 1️⃣ Coloca las pelotas dentro del tubo (3 o 4 según el modelo). 2️⃣ Cierra la tapa asegurándote de que el sellado es correcto. 3️⃣ Conecta una bomba de aire compatible con la válvula. 4️⃣ Infla hasta alcanzar una presión de 29 PSI (usando el manómetro si tu modelo lo incluye). 5️⃣ Guarda el presurizador en un lugar fresco y seco hasta el próximo uso.	0314FM6DHKK	29PSIX3_SB	33		14/03/2025 02:46:22 MET		y	1			11				B0F1F4FM85						B0F1F4FM85				AMAZON_EU	33.0	fixed	3	32.97									Plantilla de Amazon									
TUBOPLUS 29PSI X4e con Bomba - Presurizador de Pelotas de Pádel y Tenis | Capacidad para 4 Pelotas | Bote Hermético | Incluye Inflador con Manómetro	El presurizador más completo para entrenamientos de alto nivel El Tubo Plus 29PSI X4e con Bomba es la solución definitiva para conservar la presión y el rebote de 4 pelotas de pádel y tenis. Su bomba de aire con manómetro incluida permite ajustar la presión hasta 29 PSI, garantizando el mejor rendimiento en cada partido. 📌 Incluye bomba de aire con manómetro, permitiéndote personalizar la presión de las pelotas según tus necesidades. Beneficios clave: ✔ Capacidad para 4 pelotas, perfecto para entrenamientos intensivos. ✔ Bomba de aire con manómetro incluida, ajuste preciso de la presión. ✔ Cierre hermético sin fugas, evitando pérdidas de aire. ✔ Compatible con todas las marcas de pelotas de pádel y tenis. ✔ Diseño premium en ABS ultraresistente. Instrucciones de uso: 1️⃣ Introduce las pelotas en el tubo. 2️⃣ Cierra la tapa asegurando un sellado hermético. 3️⃣ Usa la bomba de aire incluida para presurizar hasta 29 PSI. 4️⃣ Almacena el presurizador en un lugar seco hasta el próximo uso. Beneficios clave: ✔ Capacidad para 4 pelotas, perfecto para entrenamientos intensivos. ✔ Bomba de aire con manómetro incluida, ajuste preciso de la presión. ✔ Cierre hermético sin fugas, evitando pérdidas de aire. ✔ Compatible con todas las marcas de pelotas de pádel y tenis. ✔ Diseño premium en ABS ultraresistente. Instrucciones de uso: 1️⃣ Introduce las pelotas en el tubo. 2️⃣ Cierra la tapa asegurando un sellado hermético. 3️⃣ Usa la bomba de aire incluida para presurizar hasta 29 PSI. 4️⃣ Almacena el presurizador en un lugar seco hasta el próximo uso.	0314FMACM5G	29PSIX4_CB	47		14/03/2025 02:46:22 MET		y	1			11				B0F1F2KX6J						B0F1F2KX6J				AMAZON_EU	47.0	fixed	3	46.96									Plantilla de Amazon									
TUBOPLUS 29PSI X4e - Presurizador de Pelotas de Pádel y Tenis | Capacidad para 4 Pelotas | Bote Hermético | Requiere Bomba de Aire (No Incluida)	Mayor capacidad para entrenamientos más exigentes El Tubo Plus 29PSI X4e permite conservar la presión de hasta 4 pelotas, ofreciendo una solución ideal para jugadores que entrenan con más bolas y buscan maximizar su rendimiento. 📌 Este modelo requiere una bomba de aire compatible con su válvula (no incluida) para restaurar la presión óptima en las pelotas. Beneficios clave: ✔ Capacidad para 4 pelotas, ideal para entrenamientos intensivos. ✔ Cierre hermético sin fugas, manteniendo la presión estable. ✔ Ahorra en pelotas nuevas y mejora tu rendimiento. ✔ Compatible con todas las marcas de pelotas de pádel y tenis. ✔ Diseño premium en ABS ultraresistente. Instrucciones de uso: 1️⃣ Introduce las pelotas en el tubo. 2️⃣ Cierra la tapa asegurando un sellado hermético. 3️⃣ Conecta una bomba de aire compatible y presuriza hasta 29 PSI. 4️⃣ Almacena el presurizador en un lugar seco hasta el próximo uso.	0314FM7XOTM	29PSIX4_SB	38		14/03/2025 02:42:11 MET		y	1			11				B0F1F1D2PR						B0F1F1D2PR				AMAZON_EU	38.0	fixed	3	37.97									Plantilla de Amazon									
TUBOPLUS X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Dorado	¿Tus pelotas pierden rebote demasiado rápido? El Tubo Plus X3 es un bote hermético presurizador diseñado para recuperar y mantener la presión de hasta 3 pelotas de pádel o tenis, prolongando su vida útil hasta 4 veces más. Juega siempre con pelotas como nuevas, sin necesidad de renovarlas constantemente. Este modelo requiere el uso de una bomba de aire o inflador compatible (no incluida) para alcanzar la presión ideal de 29 PSI. Su diseño compacto y premium en ABS ultraresistente lo hace perfecto para llevarlo en tu bolsa y proteger las pelotas de golpes y fugas de aire. Beneficios clave: ✔ Mantiene la presión interna y el rebote óptimo. ✔ Evita pelotas blandas y sin elasticidad. ✔ Compatible con todas las marcas de pelotas de pádel y tenis. ✔ Ideal para jugadores que buscan ahorro, rendimiento y durabilidad. Instrucciones de uso: 1️⃣ Coloca hasta 3 pelotas dentro del tubo. 2️⃣ Cierra la tapa asegurando el cierre hermético. 3️⃣ Conecta una bomba de aire estándar y presuriza hasta 29 PSI. 4️⃣ Guarda el bote en un lugar seco hasta tu próximo partido.	0717BMAETTH	4R-VSV0-WZ9Z	18		17/07/2024 11:38:37 MEST		y	1			11				B0D87X42RN						B0D87X42RN				AMAZON_EU	18.0	fixed	3	17.99									Plantilla de Amazon									
TUBOPLUS Reposición Junta TÓRICA para TuboX3 y TuboX3 Crystal Ball Pressurizers	Recambio del elemento más importante de los presurizadores de 3 pelotas de La Marca TuboPlus. ¡¡NO ES COMPATIBLE CON OTROS PRESURIZADORES QUE NO SEAN DE LA MARCA TUBOPLUS!! Sustituye la JUNTA TÓRICA según el uso, recomendamos CAMBIARLA 1 VEZ AL AÑO. Asegura la presurización al 100% cambiando la junta de tu TuboPlus cada año. TUBOPLUS: Nº 1 por 3 años consecutivos 2017, 2018 y 2019. TUBOX3 ES EL ÚNICO PRESURIZADOR A LA VENTA EN TODAS LAS GRANDES CADENAS DE TIENDAS DE ESPAÑA E INTERNACIONALMENTE. LAS JUNTAS TÓRICAS SE ENCUENTRAN EN LA VIDA COTIDIANA en equipos para impedir el intercambio de líquidos o gases en las uniones entre piezas desmontables. Las juntas tóricas necesitan un mantenimiento adecuado. ALGUNAS RECOMENDACIONES PARA SU USO SON LAS SIGUIENTES:	1229PERKNEW	ES-C9YX-7X8Y	4	74	29/12/2015 14:19:01 MET		y	3			11				B019Y391L2						642213320638			0	DEFAULT	4.0												Plantilla de Amazon									false
Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Naranja	 "¿Tus pelotas pierden rebote demasiado rápido? El Tubo Plus X3 es un bote hermético presurizador diseñado para recuperar y mantener la presión de hasta 3 pelotas de pádel o tenis, prolongando su vida útil hasta 4 veces más. Juega siempre con pelotas como nuevas, sin necesidad de renovarlas constantemente. Este modelo requiere el uso de una bomba de aire o inflador compatible (no incluida) para alcanzar la presión ideal de 29 PSI. Su diseño compacto y premium en ABS ultraresistente lo hace perfecto para llevarlo en tu bolsa y proteger las pelotas de golpes y fugas de aire. Beneficios clave: ✔ Mantiene la presión interna y el rebote óptimo. ✔ Evita pelotas blandas y sin elasticidad. ✔ Compatible con todas las marcas de pelotas de pádel y tenis. ✔ Ideal para jugadores que buscan ahorro, rendimiento y durabilidad. Instrucciones de uso: 1️⃣ Coloca hasta 3 pelotas dentro del tubo. 2️⃣ Cierra la tapa asegurando el cierre hermético. 3️⃣ Conecta una bomba de aire estándar y presuriza hasta 29 PSI. 4️⃣ Guarda el bote en un lugar seco hasta tu próximo partido."	0105QZERMKW	IB-IKLG-TV8H	20		05/01/2016 09:39:34 MET		y	3			11				B0183RZ2VI						642213320614				AMAZON_EU	20.0	fixed	3	19.98									Plantilla de Amazon									false
Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Azul	¿Tus pelotas pierden rebote demasiado rápido? El Tubo Plus X3 es un bote hermético presurizador diseñado para recuperar y mantener la presión de hasta 3 pelotas de pádel o tenis, prolongando su vida útil hasta 4 veces más. Juega siempre con pelotas como nuevas, sin necesidad de renovarlas constantemente. Este modelo requiere el uso de una bomba de aire o inflador compatible (no incluida) para alcanzar la presión ideal de 29 PSI. Su diseño compacto y premium en ABS ultraresistente lo hace perfecto para llevarlo en tu bolsa y proteger las pelotas de golpes y fugas de aire. Beneficios clave: ✔ Mantiene la presión interna y el rebote óptimo. ✔ Evita pelotas blandas y sin elasticidad. ✔ Compatible con todas las marcas de pelotas de pádel y tenis. ✔ Ideal para jugadores que buscan ahorro, rendimiento y durabilidad. Instrucciones de uso: 1️⃣ Coloca hasta 3 pelotas dentro del tubo. 2️⃣ Cierra la tapa asegurando el cierre hermético. 3️⃣ Conecta una bomba de aire estándar y presuriza hasta 29 PSI. 4️⃣ Guarda el bote en un lugar seco hasta tu próximo partido.	0718BP3BZW6	MD-R60M-OYR1	20		18/07/2024 12:07:45 MEST		y	1			11				B0786KK4TG						B0786KK4TG				AMAZON_EU	20.0	fixed	3	19.98									Plantilla de Amazon									
TUBOPLUS X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Rosa	¿Tus pelotas pierden rebote demasiado rápido? El Tubo Plus X3 es un bote hermético presurizador diseñado para recuperar y mantener la presión de hasta 3 pelotas de pádel o tenis, prolongando su vida útil hasta 4 veces más. Juega siempre con pelotas como nuevas, sin necesidad de renovarlas constantemente. Este modelo requiere el uso de una bomba de aire o inflador compatible (no incluida) para alcanzar la presión ideal de 29 PSI. Su diseño compacto y premium en ABS ultraresistente lo hace perfecto para llevarlo en tu bolsa y proteger las pelotas de golpes y fugas de aire. Beneficios clave: ✔ Mantiene la presión interna y el rebote óptimo. ✔ Evita pelotas blandas y sin elasticidad. ✔ Compatible con todas las marcas de pelotas de pádel y tenis. ✔ Ideal para jugadores que buscan ahorro, rendimiento y durabilidad. Instrucciones de uso: 1️⃣ Coloca hasta 3 pelotas dentro del tubo. 2️⃣ Cierra la tapa asegurando el cierre hermético. 3️⃣ Conecta una bomba de aire estándar y presuriza hasta 29 PSI. 4️⃣ Guarda el bote en un lugar seco hasta tu próximo partido.	0130AC0TAY7	TUBOX3-PINK	20		30/01/2023 16:29:42 MET		y	3			11				B0BTDTN52N						638097614475				AMAZON_EU	20.0	fixed	3	19.98									Plantilla de Amazon									false
Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Blanco	¿Tus pelotas pierden rebote demasiado rápido? El Tubo Plus X3 es un bote hermético presurizador diseñado para recuperar y mantener la presión de hasta 3 pelotas de pádel o tenis, prolongando su vida útil hasta 4 veces más. Juega siempre con pelotas como nuevas, sin necesidad de renovarlas constantemente. Este modelo requiere el uso de una bomba de aire o inflador compatible (no incluida) para alcanzar la presión ideal de 29 PSI. Su diseño compacto y premium en ABS ultraresistente lo hace perfecto para llevarlo en tu bolsa y proteger las pelotas de golpes y fugas de aire. Beneficios clave: ✔ Mantiene la presión interna y el rebote óptimo. ✔ Evita pelotas blandas y sin elasticidad. ✔ Compatible con todas las marcas de pelotas de pádel y tenis. ✔ Ideal para jugadores que buscan ahorro, rendimiento y durabilidad. Instrucciones de uso: 1️⃣ Coloca hasta 3 pelotas dentro del tubo. 2️⃣ Cierra la tapa asegurando el cierre hermético. 3️⃣ Conecta una bomba de aire estándar y presuriza hasta 29 PSI. 4️⃣ Guarda el bote en un lugar seco hasta tu próximo partido.	0130ABVFN6K	TUBOX3-WHI	20		30/01/2023 16:29:42 MET		y	3			11				B0BTDTVCG2						638097305816				AMAZON_EU	20.0	fixed	3	19.98									Plantilla de Amazon									false
TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables	Sumérgete en una experiencia de juego inigualable con el presurizador padel TUBOPLUS. Diseñado meticulosamente para los apasionados del pádel y el tenis, este innovador dispositivo revoluciona la forma en que experimentas cada partido. El presurizador pelotas padel TUBOPLUS está diseñado para maximizar la durabilidad y el rendimiento de tus pelotas de pádel y tenis. Con un proceso sencillo, restaura la presión interna y disfruta de un rebote constante y preciso. Mantén la emoción de cada partido al máximo y experimenta la satisfacción de jugar con pelotas que siempre están en su mejor estado. Un diseño apto para todo tipo de bolas padel: pelotas padel adidas, pelotas padel bullpadel, pelotas padel head pro, pelotas padel dunlop, pelotas de padel wilson, pelotas padel babolat, pelotas de padel. Además de mejorar el rendimiento, el TUBOPLUS también es un camino hacia el ahorro a largo plazo. Evita la compra frecuente de nuevas pelotas y aprovecha al máximo cada una de ellas. Contribuye al medio ambiente al reducir el desperdicio y al mismo tiempo, ahorra dinero en tu pasatiempo favorito. ¿Preocupado por la compatibilidad con tus pelotas? El TUBOPLUS es tu solución universal. Diseñado para acomodar pelotas de pádel y tenis de todas las marcas, es una respuesta a tus inquietudes. Sin necesidad de bombas adicionales ni habilidades técnicas, el proceso es sencillo y rápido. Recupera la confianza en tus pelotas con el TUBOX3 CRYSTAL. Su diseño transparente te permite observar cómo las pelotas recuperan su presión óptima. La transparencia de su diseño te permite estar seguro de que estás listo para cada partido con pelotas en las mejores condiciones. El TUBOPLUS no solo mejora el rendimiento de las pelotas, sino que también contribuye a un juego más seguro. Reduce el riesgo de lesiones al mantener un rebote consistente y controlado.	0130ABZ2X8Q	TUBOX4-CRY-SB	25		30/01/2023 16:29:42 MET		y	3			11				B0BTDS4GYS						638097586437				AMAZON_EU	25.0	fixed	3	24.98									Plantilla de Amazon									false
TUBOPLUS - TuboX4 Crystal + Bomba con Manómetro - Presurizador de Pelotas de Tenis y Padel	TuboX4 Crystal mantiene y recupera la presión de las pelotas de tenis y padel para tenerlas perfectas entre partido y partido. Gracias a su válvula de alta gama es posible inyectar aire en el interior del cilindro y aumentar la presión, permitiendo recuperar completamente las pelotas. Fácil de usar y resistente. Tiene capacidad para botes de 3 y 4 pelotas, pero también funciona con menos.	1031VUJD0TH	UG-965T-RORR	40.99		31/10/2019 12:47:35 MET		y	3			11				B07ZTHSVCK						638097448803				AMAZON_EU	39.99												Plantilla de Amazon									false
REPOSICIÓN Junta TÓRICA para TUBOX4	Recambio del elemento más importante de los presurizadores de 4 pelotas de la Marca TuboPlus. ¡¡NO ES COMPATIBLE CON OTROS PRESURIZADORES QUE NO SEAN DE LA MARCA TUBOPLUS!! Sustituye la JUNTA TÓRICA según el uso, recomendamos CAMBIARLA 1 VEZ AL AÑO. Asegura la presurización al 100% cambiando la junta de tu TuboPlus cada año. TUBOPLUS: Nº 1 por 4 años consecutivos 2017, 2018, 2019 y 2020. TUBOPLUS ES LA ÚNICA MARCA DE PRESURIZADORES A LA VENTA EN TODAS LAS GRANDES CADENAS DE TIENDAS DE ESPAÑA E INTERNACIONALMENTE. LAS JUNTAS TÓRICAS SE ENCUENTRAN EN LA VIDA COTIDIANA en equipos para impedir el intercambio de líquidos o gases en las uniones entre piezas desmontables. Las juntas tóricas necesitan un mantenimiento adecuado.	0611XPV85MQ	XH-D7NU-I2MU	4	100	11/06/2020 08:26:33 MEST		y	3			11				B08B136DB2						638097746435			0	DEFAULT	4.0												Plantilla de Amazon									false
TUBOPLUS 29PSI - Presurizador de Pelotas de Pádel y Tenis | Mantiene la Presión y el Rebote | Bote Hermético para Alargar la Vida Útil de Las Pelotas	Mantén tus pelotas de pádel y tenis siempre a punto Con el Tubo Plus 29PSI, tus pelotas de pádel y tenis mantendrán su rebote y presión original durante mucho más tiempo. Gracias a su sistema de presurización avanzado, evita que las bolas pierdan elasticidad, permitiéndote ahorrar en pelotas nuevas y mejorar tu experiencia de juego. 📌 Disponible en dos versiones: ✔ X3E: Capacidad para 3 pelotas, diseño compacto y fácil de transportar. ✔ X4E: Capacidad para 4 pelotas, ideal para entrenamientos intensivos. 💡 IMPORTANTE: Este producto requiere una bomba de aire compatible con su válvula para presurizar las pelotas (los modelos con bomba ya incluyen inflador con manómetro). 📌 Instrucciones de uso: 1️⃣ Coloca las pelotas dentro del tubo (3 o 4 según el modelo). 2️⃣ Cierra la tapa asegurándote de que el sellado es correcto. 3️⃣ Conecta una bomba de aire compatible con la válvula. 4️⃣ Infla hasta alcanzar una presión de 29 PSI (usando el manómetro si tu modelo lo incluye). 5️⃣ Guarda el presurizador en un lugar fresco y seco hasta el próximo uso.	0314FM68YIO	29PSI_PARENT	33		14/03/2025 02:05:14 MET		y	1			11				B0F1F1WKKS						B0F1F1WKKS				AMAZON_EU													Plantilla de Amazon									
